dato,skole,elevdag,laererdag,sfodag,kommentar
2017-01-02,Dalgård skole og ressurssenter,ja,ja,ja,Først skoledag
2017-01-03,Dalgård skole og ressurssenter,ja,ja,ja,
2017-01-04,Dalgård skole og ressurssenter,ja,ja,ja,
2017-01-05,Dalgård skole og ressurssenter,ja,ja,ja,
2017-01-06,Dalgård skole og ressurssenter,ja,ja,ja,
2017-01-07,Dalgård skole og ressurssenter,nei,nei,nei,Lørdag
2017-01-08,Dalgård skole og ressurssenter,nei,nei,nei,Søndag 
2017-01-09,Dalgård skole og ressurssenter,ja,ja,ja,
2017-01-10,Dalgård skole og ressurssenter,ja,ja,ja,
2017-01-11,Dalgård skole og ressurssenter,ja,ja,ja,
2017-01-12,Dalgård skole og ressurssenter,ja,ja,ja,
2017-01-13,Dalgård skole og ressurssenter,ja,ja,ja,
2017-01-14,Dalgård skole og ressurssenter,nei,nei,nei,Lørdag
2017-01-15,Dalgård skole og ressurssenter,nei,nei,nei,Søndag 
2017-01-16,Dalgård skole og ressurssenter,ja,ja,ja,
2017-01-17,Dalgård skole og ressurssenter,ja,ja,ja,
2017-01-18,Dalgård skole og ressurssenter,ja,ja,ja,
2017-01-19,Dalgård skole og ressurssenter,ja,ja,ja,
2017-01-20,Dalgård skole og ressurssenter,ja,ja,ja,
2017-01-21,Dalgård skole og ressurssenter,nei,nei,nei,Lørdag
2017-01-22,Dalgård skole og ressurssenter,nei,nei,nei,Søndag 
2017-01-23,Dalgård skole og ressurssenter,ja,ja,ja,
2017-01-24,Dalgård skole og ressurssenter,ja,ja,ja,
2017-01-25,Dalgård skole og ressurssenter,ja,ja,ja,
2017-01-26,Dalgård skole og ressurssenter,ja,ja,ja,
2017-01-27,Dalgård skole og ressurssenter,ja,ja,ja,Skole fri/ Barnehage fri
2017-01-28,Dalgård skole og ressurssenter,nei,nei,nei,Lørdag
2017-01-29,Dalgård skole og ressurssenter,nei,nei,nei,Søndag 
2017-01-30,Dalgård skole og ressurssenter,ja,ja,ja,
2017-01-31,Dalgård skole og ressurssenter,ja,ja,ja,
2017-02-01,Dalgård skole og ressurssenter,ja,ja,ja,
2017-02-02,Dalgård skole og ressurssenter,ja,ja,ja,
2017-02-03,Dalgård skole og ressurssenter,ja,ja,ja,
2017-02-04,Dalgård skole og ressurssenter,nei,nei,nei,Lørdag
2017-02-05,Dalgård skole og ressurssenter,nei,nei,nei,Søndag 
2017-02-06,Dalgård skole og ressurssenter,ja,ja,ja,
2017-02-07,Dalgård skole og ressurssenter,ja,ja,ja,
2017-02-08,Dalgård skole og ressurssenter,ja,ja,ja,
2017-02-09,Dalgård skole og ressurssenter,ja,ja,ja,
2017-02-10,Dalgård skole og ressurssenter,ja,ja,ja,
2017-02-11,Dalgård skole og ressurssenter,nei,nei,nei,Lørdag
2017-02-12,Dalgård skole og ressurssenter,nei,nei,nei,Søndag 
2017-02-13,Dalgård skole og ressurssenter,ja,ja,ja,
2017-02-14,Dalgård skole og ressurssenter,ja,ja,ja,
2017-02-15,Dalgård skole og ressurssenter,ja,ja,ja,
2017-02-16,Dalgård skole og ressurssenter,ja,ja,ja,
2017-02-17,Dalgård skole og ressurssenter,ja,ja,ja,
2017-02-18,Dalgård skole og ressurssenter,nei,nei,nei,Lørdag
2017-02-19,Dalgård skole og ressurssenter,nei,nei,nei,Søndag 
2017-02-20,Dalgård skole og ressurssenter,nei,nei,nei,Vinterferie
2017-02-21,Dalgård skole og ressurssenter,nei,nei,nei,Vinterferie
2017-02-22,Dalgård skole og ressurssenter,nei,nei,nei,Vinterferie
2017-02-23,Dalgård skole og ressurssenter,nei,nei,nei,Vinterferie
2017-02-24,Dalgård skole og ressurssenter,nei,nei,nei,Vinterferie
2017-02-25,Dalgård skole og ressurssenter,nei,nei,nei,Lørdag
